ID	Start time	Completion time	Email	Name	Last modified time	What is your current role? (Select one) 	"What is your level of experience in software development? 
"	What programming languages do you use most frequently? (Select all that apply) 	"How often do you use generative AI tools in your development process? 
"	What generative AI tools do you use? (Select all that apply) 	In which areas do you use generative AI the most? (Select all that apply) 	How would you rate the effectiveness of generative AI in improving your productivity? 	What are the biggest benefits you have experienced using generative AI? (Select up to three) 	What are the biggest challenges you face while using generative AI? (Select up to three) 	How do you see the role of generative AI in software development evolving over the next 5 years? 	What improvements or features would you like to see in generative AI tools? 	Do you have any additional comments or thoughts on generative AI in software development? 
19	5.8.25 11:58:08	5.8.25 12:00:31	anonymous			Product Manager 	0-2 years 	"None (Documents) ;"	Daily 	"ChatGPT ;Perplexity;"	"Documentation writing ;Learning new technologies ;"	Somewhat effective 	"Better documentation ;Enhanced learning ;"	"Security and privacy concerns;Dependency on AI instead of critical thinking;"	It will become an essential part of every developer's workflow. 	More seamless integration with development environments	
20	5.8.25 11:58:52	5.8.25 12:03:08	anonymous			Solution Architect 	6-10 years 	"None (Documents) ;"	Daily 	"ChatGPT ;"	"Debugging ;Documentation writing ;Learning new technologies ;"	Somewhat effective 	"Enhanced learning ;Easier debugging ;Better documentation ;"	"Dependency on AI instead of critical thinking;Lack of customization for project-specific needs;"	It will remain a helpful assistant but not a necessity.	More contextual awareness of my codebase	
21	5.8.25 12:05:37	5.8.25 12:07:14	anonymous			Software Engineer 	3-5 years 	"Python ;"	Several times a day 	"ChatGPT ;GitHub Copilot ;"	"Code generation ;Code completion ;Refactoring existing code ;Learning new technologies ;Debugging ;"	Somewhat effective 	"Enhanced learning ;Faster coding ;Improved code quality ;"	"Lack of customization for project-specific needs;Security and privacy concerns;Incorrect or low-quality suggestions;"	It will become an essential part of every developer's workflow. 	More contextual awareness of my codebase	
22	5.8.25 12:13:11	5.8.25 12:19:10	anonymous			Product Manager 	0-2 years 	"None (Documents) ;"	Several times a day 	"ChatGPT ;"	"Documentation writing ;log evaluation;"	Very effective 	"Enhanced learning ;Better documentation ;"	"writing the correct promt;"	It will remain a helpful assistant but not a necessity.	More contextual awareness of my codebase	
23	5.8.25 13:23:45	5.8.25 13:23:57	anonymous			Software Engineer 	6-10 years 	"JavaScript/Typescript ;"	Several times a day 	"ChatGPT ;Gemini ;"	"Code completion ;Refactoring existing code ;Learning new technologies ;"	Somewhat effective 	"Improved code quality ;Reduced cognitive load ;Enhanced learning ;"	"Dependency on AI instead of critical thinking;Security and privacy concerns;Incorrect or low-quality suggestions;"	It will become an essential part of every developer's workflow. 	More contextual awareness of my codebase	
24	5.8.25 13:26:48	5.8.25 13:29:31	anonymous			Software Engineer 	3-5 years 	"Kotlin ;Swift ;"	Daily 	"ChatGPT ;"	"Debugging ;Code generation ;Learning new technologies ;"	Very effective 	"Faster coding ;Easier debugging ;Reduced cognitive load ;"	"Incorrect or low-quality suggestions;"	It will remain a helpful assistant but not a necessity.	More contextual awareness of my codebase	
25	5.8.25 14:34:50	5.8.25 14:42:45	anonymous			Product Manager 	10+ years 	"None (Documents) ;"	Daily 	"ChatGPT ;"	"Learning new technologies ;Project management tasks and document generation;"	Very effective 	"Enhanced learning ;Better documentation ;"	"word/excel/ppw generation;"	It will become an essential part of every developer's workflow. 	Better word/excel/ppw generation	
26	5.8.25 15:59:57	5.8.25 16:04:20	anonymous			Trainee	0-2 years 	"JavaScript/Typescript ;"	Occasionally 	"ChatGPT ;GitHub Copilot ;"	"Code generation ;Documentation writing ;Refactoring existing code ;Test case generation ;"	Somewhat effective 	"Improved code quality ;Better documentation ;"	"Incorrect or low-quality suggestions;Integration issues with existing tools;"	It will become an essential part of every developer's workflow. 	Better accuracy in code generation 	
27	5.9.25 9:32:18	5.9.25 9:40:18	anonymous			Software Engineer 	6-10 years 	"JavaScript/Typescript ;"	I am addicted 	"ChatGPT ;GitHub Copilot ;Grok;"	"Code generation ;Code completion ;Refactoring existing code ;"	Somewhat effective 	"Faster coding ;Improved code quality ;"	"Incorrect or low-quality suggestions;Integration issues with existing tools;"	It will become an essential part of every developer's workflow. 	More contextual awareness of my codebase	
28	5.9.25 17:29:24	5.9.25 17:32:18	anonymous			Solution Architect 	10+ years 	"JavaScript/Typescript ;Php;"	Occasionally 	"ChatGPT ;"	"Code generation ;Documentation writing ;"	Somewhat effective 	"Quicker documentation, less repetitive tasks;"	"Incorrect or low-quality suggestions;Security and privacy concerns;"	It will become an essential part of every developer's workflow. 	More contextual awareness of my codebase	
29	5.12.25 12:05:52	5.12.25 12:09:14	anonymous			Test Engineer 	10+ years 	"Python ;JavaScript/Typescript ;"	Several times a day 	"ChatGPT ;GitHub Copilot ;perplexity;"	"Code generation ;Debugging ;Test case generation ;Learning new technologies ;"	Very effective 	"Faster coding ;Enhanced learning ;"	"Incorrect or low-quality suggestions;"	It will lead to automation replacing certain development tasks.	More seamless integration with development environments	
30	5.29.25 13:02:27	5.29.25 13:24:56	anonymous			Test Engineer 	0-2 years 	"Python ;Java ;SQL;"	Daily 	"ChatGPT ;Claude ;"	"Learning new technologies ;Documentation writing ;Code generation ;Refactoring messages (checking my grammer with it);"	Neutral 	"Faster coding ;Better documentation ;Enhanced learning ;"	"Security and privacy concerns;Incorrect or low-quality suggestions;"	It will become an essential part of every developer's workflow. 	Stronger security and privacy controls	"With well-crafted prompts, it's a useful tool, but not something you can fully rely on.
It struggles with tracking larger project structures and managing dependencies, and the code it generates can include potential security issues.

While it produces working code, it's often not optimal.
For example, it may write something like:

if char.lower() == 'A' or char.lower() == 'a':
    pass

It tends to produce redundant code in larger tasks and doesn't consistently follow principles like DRY or KISS.

Debugging support is also limited. In one case, when I asked it to help with my thesis, it modified the assert logic in my unit tests instead of fixing the actual bug :/ ."
